time_s,x_mm,y_mm,roll_deg,pitch_deg,angle,shift,adj_x,adj_y
1621693264.0155628,9521.0,-35074.0,3.92,-1.35,"(2.17642247204836, 3.7472187988432566)","(35.25696930594666, 102.54531603850307)",9416.621817536245,-35103.39031731098
1621693264.197984,9450.0,-34970.0,3.93,-1.22,"(2.194354163572309, 3.7651504903672057)","(31.862012661293246, 102.8065013772332)",9347.935963540285,-35004.16572899568
1621693264.4237902,9365.0,-34853.0,3.85,-1.24,"(2.237704531034207, 3.8085008578291037)","(32.38733464457786, 100.71693164909858)",9265.829394848004,-34889.85146998392
1621693264.6384845,9291.0,-34759.0,3.85,-1.12,"(2.237704531034207, 3.8085008578291037)","(29.25349706715814, 100.71693164909858)",9193.767860186199,-34798.31384487298
1621693264.8448036,9211.0,-34649.0,3.77,-0.99,"(2.1696294394073585, 3.740425766202255)","(25.860766522127406, 98.6271655681521)",9114.957388786677,-34683.233227490935
1621693265.0378,9140.0,-34547.0,3.7,-0.9,"(2.1627361295006238, 3.7335324562955203)","(23.511865899934246, 96.79846237943697)",9046.551880075765,-34581.49926143768
1621693265.2572992,9071.0,-34444.0,3.7,-0.7,"(2.160638191962514, 3.7314345187574105)","(18.287303912906108, 96.79846237943697)",8980.385764585852,-34482.64489802983
1621693265.4631655,8988.0,-34334.0,3.59,-0.55,"(2.201825658993652, 3.7726219857885486)","(14.370490136204092, 93.92449507425543)",8903.685175900837,-34377.81018373433
1621693265.6851535,8917.0,-34231.0,3.59,-0.49,"(2.1707495373098724, 3.741545864104769)","(12.802840862993696, 93.92449507425543)",8832.2497544496,-34273.463153300996
1621693265.8768835,8839.0,-34126.0,3.56,-0.46,"(2.207298059937527, 3.7780943867324237)","(12.019404034501818, 93.14062528032628)",8756.95400879987,-34171.69570525709
1621693266.1154845,8767.0,-34021.0,3.66,-0.38,"(2.190836837599774, 3.7616331643946705)","(9.92801351321158, 95.7534240833721)",8683.301752658272,-34068.559300540815
1621693266.296384,8689.0,-33914.0,3.78,-0.44,"(2.227083586206869, 3.7978799130017658)","(11.49400060453923, 98.88839692706678)",8603.640964941225,-33965.23340931987
1621693266.501437,8614.0,-33808.0,3.74,-0.53,"(2.1738208573898885, 3.744617184184785)","(13.845620046018588, 97.84345349710719)",8525.561425680748,-33852.08697266855
1621693266.738621,8540.0,-33704.0,3.73,-0.75,"(2.188802936436343, 3.7595992632312396)","(19.592801673211444, 97.58221016851773)",8449.11477947617,-33744.57144696844
1621693266.9416296,8452.0,-33590.0,3.66,-0.91,"(2.2196948202451092, 3.790491147040006)","(23.774154478174196, 95.7534240833721)",8361.341526829177,-33628.922614084586
1621693267.1762938,8392.0,-33494.0,3.55,-0.97,"(2.073697943394613, 3.6444942701895098)","(25.34460140734273, 92.87932966395263)",8298.404932517209,-33516.55841400042
1621693267.3843954,8326.0,-33399.0,3.63,-1.0,"(2.22995025832041, 3.8007465851153066)","(26.12608789314271, 94.96961470690033)",8234.924627902992,-33436.511022161074
1621693267.564268,8255.0,-33292.0,3.77,-0.89,"(2.1736236141397773, 3.744419940934674)","(23.248789788702066, 98.6271655681521)",8160.575810065174,-33328.76814340974
1621693267.7781956,8176.0,-33189.0,3.9,-1.0,"(2.2680213232176394, 3.838817650012536)","(26.11798729549061, 102.02293599787225)",8081.016297302194,-33234.485436700204
1621693268.00445,8112.0,-33099.0,3.88,-1.24,"(2.1583481835427993, 3.729144510337696)","(32.386188993231144, 101.50054352605612)",8009.568596031272,-33128.30926567803
1621693268.2188272,8044.0,-32986.0,3.82,-1.58,"(2.0819098835570222, 3.652706210351919)","(41.2671723923706, 99.93329216002303)",7936.652359613222,-32998.889007044505
1621693268.4177945,7969.0,-32892.0,3.75,-1.95,"(2.3055610341598483, 3.876357360954745)","(50.931742999133036, 98.1046938452146)",7862.062161969475,-32919.9798534083
1621693268.627215,7906.0,-32804.0,3.77,-2.05,"(2.1012317996294065, 3.672028126424303)","(53.54131156246023, 98.6271655681521)",7793.838472065391,-32807.71234201145
1621693268.8552556,7835.0,-32705.0,3.8,-1.95,"(2.2756490309592863, 3.846445357754183)","(50.92881043972635, 99.41085060000022)",7726.28018120292,-32730.617610164714
1621693269.0375066,7759.0,-32616.0,3.81,-1.72,"(2.282999732365929, 3.8537960591608256)","(44.92322636044224, 99.6720728981041)",7654.19836695611,-32647.132556813896
1621693269.2567391,7677.0,-32504.0,3.88,-1.31,"(2.1838377693254922, 3.754634096120389)","(34.21413152497964, 101.50054352605612)",7574.297149343547,-32534.41531849466
1621693269.4572985,7593.0,-32391.0,3.98,-1.04,"(2.242903981816613, 3.8137003086115095)","(27.159982234412222, 104.11238093678722)",7494.6201062267455,-32434.571194618275
1621693269.8621871,7453.0,-32193.0,4.07,-1.17,"(2.190009381472669, 3.7608057082675654)","(30.55115733523837, 106.46276367473988)",7348.571873927184,-32229.911512414234
1621693270.0862586,7386.0,-32103.0,4.06,-1.31,"(2.215288126776384, 3.7860844535712808)","(34.20667267134485, 106.20162290328814)",7280.550767041781,-32139.460121105938
1621693270.2752004,7301.0,-31996.0,4.06,-1.56,"(2.2510616888132495, 3.821858015608146)","(40.73317975528746, 106.20162290328814)",7192.817095630275,-32031.13453916589
